BaseMean,BaseStd,MixParams,elmc__n_out,elmc__C,elmc__activation
0.5099999999999999,0.157797338380595,0.09999999999999998,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.0,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.09999999999999998,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.29999999999999993,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.19999999999999996,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.29999999999999993,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.19999999999999996,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.29999999999999993,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.09999999999999998,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.29999999999999993,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.29999999999999993,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.09999999999999998,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.09999999999999998,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.09999999999999998,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.09999999999999998,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.29999999999999993,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.09999999999999998,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.09999999999999998,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.19999999999999996,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.29999999999999993,850,512,sigmoid
0.5099999999999999,0.157797338380595,-0.09999999999999998,850,512,sigmoid
0.5099999999999999,0.157797338380595,-0.19999999999999996,850,512,sigmoid
0.5099999999999999,0.157797338380595,-0.19999999999999996,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.0,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.2,850,512,sigmoid
0.5099999999999999,0.157797338380595,-0.09999999999999998,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.0,850,512,sigmoid
0.5099999999999999,0.157797338380595,-0.19999999999999996,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.0,850,512,sigmoid
0.5099999999999999,0.157797338380595,-0.09999999999999998,850,512,sigmoid
0.5099999999999999,0.157797338380595,-0.19999999999999996,850,512,sigmoid
0.5099999999999999,0.157797338380595,-0.29999999999999993,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.0,850,512,sigmoid
0.5099999999999999,0.157797338380595,0.2,850,512,sigmoid
0.5099999999999999,0.157797338380595,-0.29999999999999993,850,512,sigmoid
