BaseMean,BaseStd,MixParams,elmc__n_out,elmc__C,elmc__activation
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.09999999999999998,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,0.09999999999999998,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,-0.09999999999999998,450,0.125,sigmoid
0.48,0.1691153452528776,0.3,450,0.125,sigmoid
0.48,0.1691153452528776,0.09999999999999998,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.09999999999999998,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.09999999999999998,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.09999999999999998,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.09999999999999998,450,0.125,sigmoid
0.48,0.1691153452528776,0.29999999999999993,450,0.125,sigmoid
0.48,0.1691153452528776,0.29999999999999993,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.09999999999999998,450,0.125,sigmoid
0.48,0.1691153452528776,0.29999999999999993,450,0.125,sigmoid
0.48,0.1691153452528776,0.29999999999999993,450,0.125,sigmoid
0.48,0.1691153452528776,0.09999999999999998,450,0.125,sigmoid
0.48,0.1691153452528776,0.29999999999999993,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000009,450,0.125,sigmoid
0.48,0.1691153452528776,0.29999999999999993,450,0.125,sigmoid
0.48,0.1691153452528776,0.29999999999999993,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,-0.09999999999999998,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.3,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.3,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,0.19999999999999996,450,0.125,sigmoid
0.48,0.1691153452528776,-0.2,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
0.48,0.1691153452528776,-0.39999999999999997,450,0.125,sigmoid
0.48,0.1691153452528776,0.09999999999999998,450,0.125,sigmoid
0.48,0.1691153452528776,-0.2,450,0.125,sigmoid
0.48,0.1691153452528776,-0.2,450,0.125,sigmoid
0.48,0.1691153452528776,-0.3,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
0.48,0.1691153452528776,-0.5,450,0.125,sigmoid
0.48,0.1691153452528776,-0.39999999999999997,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,-0.3,450,0.125,sigmoid
0.48,0.1691153452528776,-0.2,450,0.125,sigmoid
0.48,0.1691153452528776,0.09999999999999998,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
0.48,0.1691153452528776,-0.2,450,0.125,sigmoid
0.48,0.1691153452528776,-0.2,450,0.125,sigmoid
0.48,0.1691153452528776,-0.39999999999999997,450,0.125,sigmoid
0.48,0.1691153452528776,-0.39999999999999997,450,0.125,sigmoid
0.48,0.1691153452528776,-0.3,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,-0.3,450,0.125,sigmoid
0.48,0.1691153452528776,-0.39999999999999997,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,-0.2,450,0.125,sigmoid
0.48,0.1691153452528776,-0.39999999999999997,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,-0.2,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,-0.39999999999999997,450,0.125,sigmoid
0.48,0.1691153452528776,-0.3,450,0.125,sigmoid
0.48,0.1691153452528776,-0.39999999999999997,450,0.125,sigmoid
0.48,0.1691153452528776,-0.3,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,-0.39999999999999997,450,0.125,sigmoid
0.48,0.1691153452528776,-0.39999999999999997,450,0.125,sigmoid
0.48,0.1691153452528776,-0.3,450,0.125,sigmoid
0.48,0.1691153452528776,-0.39999999999999997,450,0.125,sigmoid
0.48,0.1691153452528776,-0.2,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
0.48,0.1691153452528776,-0.39999999999999997,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
0.48,0.1691153452528776,-0.3,450,0.125,sigmoid
0.48,0.1691153452528776,-0.39999999999999997,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
0.48,0.1691153452528776,-0.5,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,0.0,450,0.125,sigmoid
0.48,0.1691153452528776,-0.5,450,0.125,sigmoid
0.48,0.1691153452528776,-0.3,450,0.125,sigmoid
0.48,0.1691153452528776,-0.10000000000000003,450,0.125,sigmoid
