BaseMean,BaseStd,MixParams,elmc__n_out,elmc__C,elmc__activation
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.19999999999999996,50,8,sigmoid
0.615,0.14239030865898142,0.19999999999999996,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.19999999999999996,50,8,sigmoid
0.615,0.14239030865898142,0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.19999999999999996,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.19999999999999996,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.19999999999999996,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.19999999999999996,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.19999999999999996,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.5,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.4,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.20000000000000007,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.19999999999999996,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.19999999999999996,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.20000000000000007,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.4,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,0.10000000000000009,50,8,sigmoid
0.615,0.14239030865898142,-0.19999999999999996,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,-0.19999999999999996,50,8,sigmoid
0.615,0.14239030865898142,-0.19999999999999996,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,-0.30000000000000004,50,8,sigmoid
0.615,0.14239030865898142,0.0,50,8,sigmoid
0.615,0.14239030865898142,-0.09999999999999998,50,8,sigmoid
