BaseMean,BaseStd,SMA,EMA,ATR,ADX,CCI,ROC,RSI,WillR,StochK,StochD,P1,P2,M1,M2,S1,S2,logisticregression__C,logisticregression__fit_intercept
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,-0.09999999999999998,-0.09999999999999998,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,8,True
0.545,0.14309088021254185,0.0,0.0,-0.20000000000000007,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,-0.09999999999999998,-0.09999999999999998,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,0.0,-0.09999999999999998,-0.09999999999999998,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0,-0.09999999999999998,-0.09999999999999998,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,-0.20000000000000007,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,-0.20000000000000007,-0.09999999999999998,-0.09999999999999998,0.0,0.0,0.09999999999999998,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,-0.20000000000000007,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,-0.09999999999999998,-0.09999999999999998,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0,-0.09999999999999998,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,-0.20000000000000007,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,-0.20000000000000007,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,-0.09999999999999998,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,-0.20000000000000007,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,-0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,-0.20000000000000007,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,-0.20000000000000007,-0.09999999999999998,-0.09999999999999998,0.0,0.0,0.0,-0.09999999999999998,8,True
0.545,0.14309088021254185,0.0,0.0,-0.20000000000000007,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,0.0,-0.09999999999999998,-0.09999999999999998,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,-0.09999999999999998,0.0,0.0,-0.09999999999999998,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,0.09999999999999998,0.0,-0.09999999999999998,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,-0.20000000000000007,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,-0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19999999999999996,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,0.0,-0.19999999999999996,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19999999999999996,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19999999999999996,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999993,0.0,8,True
0.545,0.14309088021254185,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,-0.09999999999999998,0.0,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,8,True
0.545,0.14309088021254185,-0.09999999999999998,0.0,0.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,-0.09999999999999998,0.0,-0.09999999999999998,0.19999999999999996,0.0,0.0,0.0,-0.09999999999999998,0.0,-0.09999999999999998,8,True
0.545,0.14309088021254185,0.0,-0.09999999999999998,-0.09999999999999998,0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0,0.0,0.19999999999999996,0.0,0.0,-0.09999999999999998,-0.09999999999999998,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,-0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,0.09999999999999998,-0.09999999999999998,0.0,0.0,-0.09999999999999998,-0.09999999999999998,0.0,-0.09999999999999998,-0.09999999999999998,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,-0.09999999999999998,0.09999999999999998,0.0,-0.09999999999999998,8,True
0.545,0.14309088021254185,0.0,-0.09999999999999998,0.0,0.09999999999999998,0.0,0.0,-0.09999999999999998,0.0,0.0,0.19999999999999996,0.0,0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,-0.09999999999999998,0.09999999999999998,0.0,0.0,-0.09999999999999998,-0.09999999999999998,0.0,-0.09999999999999998,0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,0.0,8,True
0.545,0.14309088021254185,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.09999999999999998,-0.09999999999999998,0.0,0.0,0.0,8,True
