<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;30;20190110;110000;195.6400000;196.0500000;195.5500000;195.8700000;1977540
SBER;30;20190110;113000;195.8500000;196.3000000;195.7900000;195.8200000;3651910
SBER;30;20190110;120000;195.8100000;195.9900000;195.0300000;195.7400000;4709350
SBER;30;20190110;123000;195.7200000;196.6500000;195.6700000;196.1700000;3157930
SBER;30;20190110;130000;196.1800000;197.4900000;195.8200000;196.9400000;5146600
SBER;30;20190110;133000;196.9400000;197.4100000;196.9200000;197.0900000;2185430
SBER;30;20190110;140000;197.0900000;197.6400000;197.0300000;197.3000000;2906430
SBER;30;20190110;143000;197.3400000;197.5800000;197.0000000;197.0000000;2027640
SBER;30;20190110;150000;197.0200000;197.0200000;196.6300000;196.7500000;1956700
SBER;30;20190110;153000;196.7500000;197.0500000;196.0700000;196.1100000;2581870
SBER;30;20190110;160000;196.1000000;196.3100000;195.7200000;196.1000000;2317430
SBER;30;20190110;163000;196.1000000;196.9100000;196.1000000;196.4800000;1648080
SBER;30;20190110;170000;196.4600000;196.6600000;196.1000000;196.2000000;1108990
SBER;30;20190110;173000;196.1800000;196.1900000;195.7500000;196.1100000;2514170
SBER;30;20190110;180000;196.0700000;196.4000000;196.0000000;196.0300000;2668360
SBER;30;20190110;183000;196.0500000;196.6200000;196.0200000;196.5400000;4390030
SBER;30;20190110;190000;196.5100000;197.0500000;196.5100000;196.7500000;5917750
SBER;30;20190111;103000;197.1300000;197.9900000;196.2300000;196.7700000;7082370
SBER;30;20190111;110000;196.8400000;197.2000000;196.5100000;197.0700000;1616500
SBER;30;20190111;113000;197.1000000;197.6700000;196.1200000;197.5500000;4554550
SBER;30;20190111;120000;197.5500000;198.8000000;197.2100000;198.5400000;10104180
SBER;30;20190111;123000;198.6000000;198.7900000;198.1300000;198.2800000;2868370
SBER;30;20190111;130000;198.2200000;198.9500000;198.1500000;198.5700000;2514800
SBER;30;20190111;133000;198.5700000;198.9600000;198.0300000;198.2700000;2773210
SBER;30;20190111;140000;198.2300000;198.5500000;197.9000000;198.3500000;3401730
SBER;30;20190111;143000;198.3000000;198.3300000;197.9000000;197.9900000;2216690
SBER;30;20190111;150000;197.9900000;198.0400000;197.3500000;197.5400000;3269720
SBER;30;20190111;153000;197.5400000;197.7700000;197.2000000;197.3500000;1812900
SBER;30;20190111;160000;197.3300000;197.6500000;197.3200000;197.4200000;1125620
SBER;30;20190111;163000;197.3700000;197.4200000;196.6900000;196.6900000;3390540
SBER;30;20190111;170000;196.6900000;196.8900000;195.8100000;195.9300000;4620760
SBER;30;20190111;173000;195.9700000;196.4300000;195.9000000;196.2500000;1825420
SBER;30;20190111;180000;196.3100000;196.5300000;195.6100000;195.8800000;3475650
SBER;30;20190111;183000;195.8800000;196.3100000;195.8000000;196.0600000;2523630
SBER;30;20190111;190000;196.0900000;196.8000000;196.0100000;196.8000000;4467030
SBER;30;20190114;103000;195.6800000;195.7000000;194.4000000;194.6000000;5341190
SBER;30;20190114;110000;194.6000000;194.9800000;194.2400000;194.7300000;2403750
SBER;30;20190114;113000;194.7300000;195.0000000;194.4200000;194.7700000;2183540
SBER;30;20190114;120000;194.7400000;194.9800000;194.3800000;194.4900000;1961430
SBER;30;20190114;123000;194.5300000;194.9000000;194.4300000;194.7400000;1119790
SBER;30;20190114;130000;194.8000000;194.8000000;194.1000000;194.1000000;2809450
SBER;30;20190114;133000;194.1000000;194.4800000;194.0000000;194.3000000;2309840
SBER;30;20190114;140000;194.3000000;194.6500000;194.1500000;194.5900000;1701900
SBER;30;20190114;143000;194.5900000;194.7800000;194.5000000;194.7400000;978880
SBER;30;20190114;150000;194.7500000;195.1000000;194.7100000;195.0200000;1873680
SBER;30;20190114;153000;195.0000000;195.3700000;194.8300000;195.2700000;1570590
SBER;30;20190114;160000;195.2800000;195.7700000;195.2800000;195.5100000;2299920
SBER;30;20190114;163000;195.5000000;195.6800000;195.4000000;195.6100000;1218590
SBER;30;20190114;170000;195.6200000;196.2500000;195.5100000;196.0000000;4103210
SBER;30;20190114;173000;196.0000000;196.1000000;195.8900000;196.0400000;1028670
SBER;30;20190114;180000;196.0000000;196.9800000;195.7200000;196.4600000;4773260
SBER;30;20190114;183000;196.5100000;197.4400000;196.5100000;197.0000000;3991010
SBER;30;20190114;190000;196.9600000;197.1600000;196.8000000;196.8000000;2974820
SBER;30;20190115;103000;197.3900000;198.0100000;197.3900000;197.5700000;3968120
SBER;30;20190115;110000;197.5700000;198.0000000;197.1500000;197.7700000;4042870
SBER;30;20190115;113000;197.7700000;198.8400000;197.7600000;198.1100000;4981400
SBER;30;20190115;120000;198.0800000;198.6000000;197.8500000;198.3600000;2940300
SBER;30;20190115;123000;198.3600000;198.4800000;197.3200000;197.6700000;2652710
SBER;30;20190115;130000;197.6800000;197.9800000;196.7700000;197.0000000;4510410
SBER;30;20190115;133000;197.0000000;197.4800000;196.9700000;197.1000000;1859020
SBER;30;20190115;140000;197.0500000;197.3000000;196.8300000;197.1000000;1988920
SBER;30;20190115;143000;197.0500000;197.4700000;197.0500000;197.2700000;1029780
SBER;30;20190115;150000;197.3100000;197.5700000;196.3400000;196.4300000;2722150
SBER;30;20190115;153000;196.4500000;197.0700000;196.2800000;196.6800000;2150730
SBER;30;20190115;160000;196.6800000;196.7300000;195.9100000;196.4000000;2128050
SBER;30;20190115;163000;196.4400000;196.8800000;196.2000000;196.7000000;1245970
SBER;30;20190115;170000;196.6900000;196.7800000;196.2300000;196.3200000;1222140
SBER;30;20190115;173000;196.3100000;197.5000000;196.1500000;197.3200000;2369420
SBER;30;20190115;180000;197.3200000;197.9000000;197.3200000;197.6000000;3269750
SBER;30;20190115;183000;197.6000000;198.3500000;197.3600000;197.9300000;5298400
SBER;30;20190115;190000;197.9800000;198.2000000;197.8500000;198.0000000;4614650
SBER;30;20190116;103000;198.6400000;199.6700000;198.0200000;198.9400000;6785790
SBER;30;20190116;110000;198.9600000;199.3500000;198.7500000;199.1200000;2455530
SBER;30;20190116;113000;199.1200000;199.3300000;198.7500000;199.0900000;2240060
SBER;30;20190116;120000;199.0900000;200.1700000;199.0900000;199.5900000;7082290
SBER;30;20190116;123000;199.6100000;199.9000000;199.4100000;199.7000000;2824850
SBER;30;20190116;130000;199.7400000;199.7500000;199.3000000;199.4700000;2703960
SBER;30;20190116;133000;199.4500000;199.5000000;198.8500000;199.0200000;2604670
SBER;30;20190116;140000;199.0400000;199.3500000;198.6200000;199.2000000;1911940
SBER;30;20190116;143000;199.2100000;199.6300000;199.0700000;199.3500000;1490980
SBER;30;20190116;150000;199.3800000;199.7800000;199.2900000;199.5100000;1578730
SBER;30;20190116;153000;199.5100000;199.5700000;199.0000000;199.1800000;1831590
SBER;30;20190116;160000;199.1800000;199.9000000;199.1100000;199.7000000;2920140
SBER;30;20190116;163000;199.6700000;199.8000000;199.3400000;199.5700000;1448580
SBER;30;20190116;170000;199.5700000;200.1000000;199.0400000;199.8600000;4817160
SBER;30;20190116;173000;199.8600000;201.0800000;199.8400000;200.3300000;7686500
SBER;30;20190116;180000;200.3000000;201.3000000;200.1500000;201.1300000;5632790
SBER;30;20190116;183000;201.1200000;201.2000000;200.6500000;200.8200000;1954960
SBER;30;20190116;190000;200.7900000;201.2600000;200.7300000;201.2600000;4421870
SBER;30;20190117;103000;201.6700000;202.1700000;201.4500000;201.7500000;5793140
SBER;30;20190117;110000;201.7500000;202.1100000;201.5600000;201.5700000;2484130
SBER;30;20190117;113000;201.5900000;201.8200000;201.0500000;201.3500000;4275740
SBER;30;20190117;120000;201.3200000;203.4100000;201.2100000;203.1000000;8015060
SBER;30;20190117;123000;203.1100000;203.5500000;202.7500000;203.2800000;4964900
SBER;30;20190117;130000;203.2900000;203.3400000;202.1200000;202.3500000;4103600
SBER;30;20190117;133000;202.3500000;203.1500000;202.3300000;203.1500000;2636960
SBER;30;20190117;140000;203.1500000;203.3000000;202.3500000;202.9800000;2296830
SBER;30;20190117;143000;202.9500000;203.1300000;202.6500000;202.9700000;1355240
SBER;30;20190117;150000;202.9900000;203.2500000;202.8300000;203.0900000;1977180
SBER;30;20190117;153000;203.0900000;203.1600000;202.0500000;202.1900000;3371490
SBER;30;20190117;160000;202.1600000;202.2500000;201.7100000;201.9100000;2554850
SBER;30;20190117;163000;201.9000000;202.2200000;201.8100000;202.0200000;1724510
SBER;30;20190117;170000;202.0100000;202.4800000;201.9300000;202.3300000;1518980
SBER;30;20190117;173000;202.2900000;202.4900000;201.2300000;202.0600000;3450270
SBER;30;20190117;180000;202.0500000;202.8100000;201.7600000;202.5500000;3275970
SBER;30;20190117;183000;202.5600000;202.6200000;202.2500000;202.4600000;1963740
SBER;30;20190117;190000;202.5000000;203.3200000;202.4800000;203.3200000;4065020
SBER;30;20190118;103000;204.6000000;205.5000000;204.3500000;204.7600000;9282820
SBER;30;20190118;110000;204.7700000;204.8500000;204.3200000;204.7400000;2457800
SBER;30;20190118;113000;204.7100000;205.2200000;204.2000000;205.1400000;4076610
SBER;30;20190118;120000;205.1800000;205.7800000;204.8100000;205.2900000;4702310
SBER;30;20190118;123000;205.1900000;205.3800000;204.7200000;204.8200000;1137660
SBER;30;20190118;130000;204.8200000;205.4100000;204.7900000;205.3800000;1482910
SBER;30;20190118;133000;205.3600000;205.6400000;205.0100000;205.0500000;2041020
SBER;30;20190118;140000;205.0500000;205.0500000;204.2300000;204.5300000;3699840
SBER;30;20190118;143000;204.5500000;204.7500000;203.8300000;204.2400000;2679870
SBER;30;20190118;150000;204.2400000;205.2500000;204.2300000;205.1500000;3115010
SBER;30;20190118;153000;205.1500000;205.1700000;204.7700000;204.9600000;1533310
SBER;30;20190118;160000;204.9800000;205.5000000;204.9800000;205.1500000;4184510
SBER;30;20190118;163000;205.1500000;205.4100000;205.1000000;205.2100000;1391820
SBER;30;20190118;170000;205.2500000;205.9500000;205.2000000;205.8200000;4249670
SBER;30;20190118;173000;205.8200000;206.6000000;205.5300000;206.3800000;6087860
SBER;30;20190118;180000;206.3800000;207.8000000;206.2600000;207.7800000;7365060
SBER;30;20190118;183000;207.7600000;208.3400000;207.3400000;208.2500000;9610900
SBER;30;20190118;190000;208.2500000;208.4400000;207.9500000;208.4400000;5060440
SBER;30;20190121;103000;208.9200000;209.5500000;208.3800000;208.3900000;6901580
SBER;30;20190121;110000;208.4000000;209.3900000;207.7000000;208.6300000;6219350
SBER;30;20190121;113000;208.6300000;208.7000000;208.2100000;208.3600000;3008230
SBER;30;20190121;120000;208.3200000;208.5500000;207.4400000;207.5700000;2697940
SBER;30;20190121;123000;207.5700000;207.8900000;207.3900000;207.8800000;1656270
SBER;30;20190121;130000;207.8000000;207.8900000;207.4400000;207.5200000;1099670
SBER;30;20190121;133000;207.5600000;207.8900000;207.5200000;207.7300000;2195050
SBER;30;20190121;140000;207.7300000;208.8600000;207.7000000;208.6500000;2874200
SBER;30;20190121;143000;208.6400000;209.2300000;208.3700000;209.0500000;2230420
SBER;30;20190121;150000;209.0500000;209.1200000;208.6200000;208.9000000;2021420
SBER;30;20190121;153000;208.9100000;210.1800000;208.9000000;209.9600000;5255680
SBER;30;20190121;160000;209.9500000;210.2000000;209.7200000;209.7300000;3059750
SBER;30;20190121;163000;209.7700000;209.9900000;209.6200000;209.9300000;1356640
SBER;30;20190121;170000;209.9300000;209.9900000;209.4500000;209.4600000;1846860
SBER;30;20190121;173000;209.4600000;209.8100000;209.3000000;209.3600000;1287700
SBER;30;20190121;180000;209.3900000;209.4600000;207.7100000;207.9600000;5330360
SBER;30;20190121;183000;207.9500000;208.5000000;207.8500000;208.4500000;2562110
SBER;30;20190121;190000;208.4600000;208.5000000;207.1700000;207.1700000;3798400
SBER;30;20190122;103000;206.6500000;208.4300000;205.6300000;207.0100000;7955240
SBER;30;20190122;110000;207.0500000;207.1300000;206.1200000;206.7500000;2447990
SBER;30;20190122;113000;206.7500000;207.8500000;206.2100000;207.7100000;3939940
SBER;30;20190122;120000;207.7100000;208.3700000;207.6000000;207.8300000;3044650
SBER;30;20190122;123000;207.8200000;208.8800000;207.3100000;207.6700000;3850920
SBER;30;20190122;130000;207.6800000;207.7100000;206.6200000;207.0100000;2514340
SBER;30;20190122;133000;207.0100000;207.3700000;206.8600000;207.2100000;1041270
SBER;30;20190122;140000;207.2100000;207.3000000;206.7400000;206.8100000;1208570
SBER;30;20190122;143000;206.8500000;207.0000000;206.2600000;206.6500000;1821530
SBER;30;20190122;150000;206.6400000;206.7300000;205.7900000;206.3300000;3074830
SBER;30;20190122;153000;206.3300000;207.6800000;206.2000000;207.5300000;2482570
SBER;30;20190122;160000;207.5100000;207.5900000;206.8000000;207.0300000;1513480
SBER;30;20190122;163000;207.0000000;207.7800000;206.9100000;207.4700000;1352230
SBER;30;20190122;170000;207.4500000;207.5800000;206.5300000;206.7900000;861760
SBER;30;20190122;173000;206.8200000;207.1500000;206.3500000;206.5300000;1200160
SBER;30;20190122;180000;206.5300000;207.6700000;206.5000000;207.6600000;2395250
SBER;30;20190122;183000;207.6000000;207.6800000;206.2700000;207.4300000;5113220
SBER;30;20190122;190000;207.4700000;207.9500000;207.0500000;207.9500000;5451670
SBER;30;20190123;103000;207.7500000;209.1600000;207.5200000;208.3100000;5868550
SBER;30;20190123;110000;208.3200000;209.5500000;208.3100000;209.4900000;5516300
SBER;30;20190123;113000;209.4400000;209.4800000;208.5200000;208.6500000;3936300
SBER;30;20190123;120000;208.6500000;209.3500000;208.5000000;209.2100000;3112320
SBER;30;20190123;123000;209.1900000;209.4400000;208.8200000;209.1000000;2962360
SBER;30;20190123;130000;209.1400000;209.9900000;208.8200000;209.8500000;6559020
SBER;30;20190123;133000;209.8500000;211.3000000;209.5300000;211.0000000;9984150
SBER;30;20190123;140000;211.0100000;211.7700000;210.8500000;211.1400000;5444190
SBER;30;20190123;143000;211.0800000;211.1900000;210.4500000;210.8200000;3449560
SBER;30;20190123;150000;210.8200000;211.5300000;210.4200000;211.4900000;4143650
SBER;30;20190123;153000;211.4100000;211.7700000;211.1200000;211.6000000;1685690
SBER;30;20190123;160000;211.6000000;212.0000000;211.5100000;211.5100000;3926440
SBER;30;20190123;163000;211.5200000;211.9100000;210.8000000;211.0100000;3224030
SBER;30;20190123;170000;211.0100000;211.2800000;210.1200000;211.0100000;4859670
SBER;30;20190123;173000;211.0100000;211.4300000;210.9400000;211.1100000;2940850
SBER;30;20190123;180000;211.1500000;211.7800000;210.9500000;211.0200000;4179460
