BaseMean,BaseStd,MixParams,svc__C,svc__kernel
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,-0.09999999999999998,0.5,sigmoid
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.10000000000000003,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,-0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.10000000000000003,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.10000000000000003,0.5,sigmoid
0.48,0.17492855684535902,0.10000000000000003,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,-0.29999999999999993,0.5,sigmoid
0.48,0.17492855684535902,0.10000000000000003,0.5,sigmoid
0.48,0.17492855684535902,0.10000000000000003,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.10000000000000003,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,-0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,-0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.3,0.5,sigmoid
0.48,0.17492855684535902,0.3,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.3,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.3,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,-0.09999999999999998,0.5,sigmoid
0.48,0.17492855684535902,0.3,0.5,sigmoid
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,0.19999999999999996,0.5,sigmoid
0.48,0.17492855684535902,-0.09999999999999998,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.39999999999999997,0.5,sigmoid
0.48,0.17492855684535902,0.39999999999999997,0.5,sigmoid
0.48,0.17492855684535902,0.39999999999999997,0.5,sigmoid
0.48,0.17492855684535902,0.39999999999999997,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.39999999999999997,0.5,sigmoid
0.48,0.17492855684535902,0.39999999999999997,0.5,sigmoid
0.48,0.17492855684535902,0.39999999999999997,0.5,sigmoid
0.48,0.17492855684535902,0.39999999999999997,0.5,sigmoid
0.48,0.17492855684535902,0.39999999999999997,0.5,sigmoid
0.48,0.17492855684535902,0.39999999999999997,0.5,sigmoid
0.48,0.17492855684535902,0.39999999999999997,0.5,sigmoid
0.48,0.17492855684535902,0.29999999999999993,0.5,sigmoid
0.48,0.17492855684535902,0.39999999999999997,0.5,sigmoid
0.48,0.17492855684535902,0.29999999999999993,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.09999999999999998,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
0.48,0.17492855684535902,0.0,0.5,sigmoid
