BaseMean,BaseStd,MixParams,svc__C,svc__kernel
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.3,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.0,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.3,0.125,sigmoid
0.505,0.215580611373101,0.3,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.09999999999999998,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
0.505,0.215580611373101,0.19999999999999996,0.125,sigmoid
